station_name,station_full_name,station_zone,average_delay,median_delay,total_records
CLD,CHALSA JN,NFR,26.208892025405788,19.0,1417
CLDR,CHILIKIDARA,ECOR,48.30684428112081,44.0,2177
CLDY,CHANDLODIYA,WR,15.502410606669345,10.0,4978
CLE,CHINTALPALLI,SCR,49.32671829622459,42.0,2066
CLF,CHHULHA,SECR,49.36780821917808,35.0,1460
CLG,KAHALGAON,ER,36.312052445789206,21.0,9915
CLI,CHALGERI,SWR,17.36849315068493,9.0,2190
CLJ,COLONELGANJ,NER,67.75345132743362,42.0,5650
CLKA,CHILKA,ECOR,48.911933448078024,38.0,3486
CLKN,CHUCHELA KALAN H,NR,14.110392609699769,6.0,2165
CLN,KOLLIDAM,SR,22.496575342465754,19.0,2920
CLO,CHILO,NWR,19.363013698630137,15.0,730
CLPE,CHALLAVARIPALLE,SCR,88.57534246575342,79.0,657
CLR,CASTLE ROCK,SWR,39.53812154696133,25.0,2715
CLT,KOZHIKODE,SR,23.042381769641494,15.0,20976
CLU,CHILAKALAPUDI,SCR,4.563455263609823,0.0,5823
CLVR,CHILUVUR,SCR,33.951539626451286,21.5,3962
CLW,CHILWARIYA,NER,23.71566265060241,7.0,2905
CLX,CHIRALA,SCR,65.9720992239204,46.0,21003
CM,CAMPIERGANJ,NER,94.86199175014733,53.0,8485
CMA,CINNAMARA,NFR,21.817442719881743,13.0,1353
CMC,CHEMANCHERI,SR,10.325958702064897,5.0,1356
CMDP,CHIMIDIPALLI,ECOR,54.44459833795014,45.5,722
CMGR,CHIKKAMAGALUR,SWR,5.504617414248021,0.0,1516
CMJ,CHAMARAJAPURAM,SWR,6.13091323045788,0.0,7906
CMMG,CHAMUNDA MARG,NR,21.139942880456957,0.0,2451
CMNR,CHAMARAJANAGAR,SWR,2.6973714285714285,0.0,4375
CMP,CHROMEPET,SR,15.114327062228654,11.0,691
CMR,CHAMROLA,NCR,71.53707553707554,43.0,1443
CMU,CHAU MAHLA,WCR,25.383477681545635,13.0,7505
CMW,CHIMA PAHAD,SCR,39.18741159830269,19.0,1414
CMX,CHAMAGRAM,ER,20.692801467216874,11.0,2181
CMY,CHINTAMANI,SWR,12.590727418065548,7.0,1251
CNA,CHANDERIYA,WR,12.723959679503748,1.0,7738
CNB,KANPUR CENTRAL,NCR,52.21158408551717,17.0,73342
